StoreName,Age,Gender,CountryName,City,State,TimeZone,SignUpType,SubscriptionStatus,PlanName,Industry,AlreadySelling,Revenue,CreatedDate,subdomain,StoreUrl,dasboard link,F20,Is it connected to their website,Are they active,Notes,Household Income,Marital Status,Home Owner Status,Length of Residence,Education,Occupation,Health & Wellness,Travel,Auto Parts,Kids & Babies,Nutrition,Home & Garden,Garden & Patio,Garden Supplies,Home Decor,Home Improvement,Kitchen & Dining,Pets & Supplies,Gift Buyer,Toys,Sports & Outdoors,Beauty,Mens Clothing,Shoes,Womens Clothing,Jewelry,Electronics,Computers & Software,Home Buyer,Cord Cutter,Deal Seeker,Luxury Shopper,Big Spender,Online Buyer,PostalCode,entertainment sites,Communities,Groups,Influencers
Paris Connors,45-54,Female,United States of America,Pleasanton,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,I haven't yet started selling,0,05ago2020 0:00:52,fitwithparis,https://www.fitwithparis.com,https://dashboard.yondo.com/manage?store=fitwithparis,Fitness - training for cardio workout,Yes,Yes,Unpublished Store.No live 1 to 1.Uses video for workout session,250k+,Married,Own,20+ years,Completed High School,Professional,TRUE,,,Bought,,Interested,,,Bought,Interested,Bought,,Bought,Interested,Interested,Interested,Interested,,Bought,Bought,,Interested,,,,,,,94566-7725,,,,
Pilates in Guelph,35-44,Female,Canada,Guelph,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,"I'm already selling, just not online",250k-1m,17/3/2020 13:30,pilatesinguelph,https://pilatesinguelph.yondo.com,https://dashboard.yondo.com/manage?store=pilatesinguelph,Fitness - providing pilates lesson and motion training,No,Yes,"Status - will cancel at period end.3/19/2020  Next biling date.Apr 4, 2020 last Live 1-to-1 .Active with video",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candace Long,65+,Female,United States of America,Atlanta,GA,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Consulting,"I'm already selling, just not online",0,10/2/2020 20:22,candacelong,https://training.candacelong.com,https://dashboard.yondo.com/manage?store=candacelong,Providing dream expanded interpretation,Yes,Yes,active live 1-to-1 schedule.Using videos for sessions,35k-50k,Single,Own,4 Years,Completed College,Middle Management,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDYoga,,Female,United States of America,Los Angeles,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Fitness,"I'm already selling, just not online",5k-50k,4/2/2019 21:33,CARDYoga,https://CARDYoga.yondo.com,https://dashboard.yondo.com/manage?store=CARDYoga,"Fitness - Yoga session, Nutrition Consultation and Meditation Session",Yes,Yes,with recent activities using video and webinars and Live 1-to-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnastacize,25-34,Female,United States of America,Centralia,WA,(UTC-07:00) Mountain Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,24ago2020 2:26:53,Gymnastacize,https://gymnastacize.com,https://dashboard.yondo.com/manage?store=Gymnastacize,gymnastics training,Yes,Yes,offers 1-1 consultation for nody weight conditioning gymnasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,inMarket,,,inMarket,,,,,
Better Online Fitness,35-44,Female,United Kingdom,Edinburgh,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Professional,Fitness,I haven't yet started selling,0,19/2/2019 16:40,BetterStudioLive,https://www.betteronlinefitness.com,https://dashboard.yondo.com/manage?store=BetterStudioLive,Offering fitness and pilates,Yes,Yes,Offers mat based fitness session.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cashing Out On Cannabis With Cimone Casson,65+,Female,United States of America,Chicago,IL,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Consulting,I am already selling online using a different system,0,17dic2017 20:40:21,ccasson12,https://ccasson12.yondo.com,https://dashboard.yondo.com/manage?store=ccasson12,"Providing coaching in different fields, such as stock market and improve youer investments",No,Yes,www.capitalcoalition.org - domain no longer active.offers subscriptions and rentals,15k-25k,Single,Own,16-19 years,Completed College,White Collar Worker,TRUE,TRUE,,,,,,,,,,,,,,,,,Bought,,,,,,Bought,,,,,,,,
Absolute Barre,65+,Male,United States of America,Livermore,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,50k-250k,14/3/2020 22:18,absolutebarre,https://absolutebarre.yondo.com,https://dashboard.yondo.com/manage?store=absolutebarre,Fitness - providing online workout and sessions,Yes,Yes,with recent activities and bookings.6/14/2020 last webinar update.videos to provide sessions,150k-175k,Married,Own,16-19 years,Completed College,Middle Management,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooking Live,55-64,Male,United States of America,Arlington,VA,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Professional,"Tutoring (Languages, Math etc.)",I am already selling online using a different system,5k-50k,03ene2017 19:15:25,chefpatrice,https://chefpatrice.yondo.com,https://dashboard.yondo.com/manage?store=chefpatrice,Tutorial - Providing food recipe via online video,Yes,Yes,Unpublished store.No live 1-to-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoga with Chiharu,25-34,Female,Japan,,,"(UTC+09:00) Osaka, Sapporo, Tokyo",New Signup,active,Starter,Fitness,I haven't yet started selling,5k-50k,09dic2018 3:44:04,yogawithchiharu,https://yogawithchiharu.yondo.com,https://dashboard.yondo.com/manage?store=yogawithchiharu,Fitness - providing Yoga sessions via videos,Yes,Yes,With recent activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ChiforLiving, LLC",55-64,Male,United States of America,Oxford,NJ,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,18/3/2020 17:35,ChiForLiving,https://ChiForLiving.yondo.com,https://dashboard.yondo.com/manage?store=ChiForLiving,Fitness - internal health moving meditation using Tai Chi movement,Yes,Yes,with recent activities using live 1-to-1.6/30/2020 last video upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loco Cycle,45-54,Male,United States of America,Newport Beach,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,I am already selling online using a different system,250k-1m,05abr2020 20:19:32,locoathome,https://locoathome.yondo.com,https://dashboard.yondo.com/manage?store=locoathome,Fitness training equipment base session,Yes,Yes,ideal for workout f rom home tutorial.Unpublished Store.,150k-175k,Married,Own,20+ years,Completed College,Professional,TRUE,TRUE,,Bought,,,,,Bought,,,,Bought,,,,,,Bought,,,,,,,,,,92663-4617,,,,
Patriot Sewer Equipment & Repair,55-64,Male,United States of America,Riverside,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter Plus,Other,I'm just playing around,250k-1m,28ago2019 1:02:24,patriot,https://patriot.yondo.com,https://dashboard.yondo.com/manage?store=patriot,one stop shop for plumbing equipment repairs,No,No,account is under the lifetime plan..nothing is posted on the account,75k-100k,Married,Own,10 Years,Completed High School,Homemaker,TRUE,TRUE,,Bought,,,Bought,,Bought,,Bought,,Bought,,,,Bought,,Bought,Bought,,,,,,,,,,,,,
Colleen I Kennedy MD PA,35-44,Female,United States of America,Dallas,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Medical,I haven't yet started selling,250k-1m,16/3/2020 20:40,ckennedy,https://ckennedy.yondo.com,https://dashboard.yondo.com/manage?store=ckennedy,weight loss surgeon,Yes,Yes,"1-1 consultation for initial appointment, follow up and post op appointment",100k-150k,Single,Own,16-19 years,Completed Graduate School,Health Services,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Bar Consulting,35-44,Female,United States of America,Prineville,OR,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Consulting,I am already selling online using a different system,0,11/9/2019 3:29,3barconsulting,https://3barconsulting.yondo.com,https://dashboard.yondo.com/manage?store=3barconsulting,Consultation for company file and company improvement set up.coaching session to improve company sustainability,Yes,Yes,Status - will cancel at period end.only one live1-to-1 is active nothing else.Still active scheduling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97754-8887,,,,
BODY IN MOTION FITNESS,25-34,Male,United States of America,Baltimore,MD,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,"I'm already selling, just not online",5k-50k,12/11/2018 15:40,clinton,https://clinton.yondo.com,https://dashboard.yondo.com/manage?store=clinton,Fitness - virtual workout and Nutrition & Your Diet,No,Yes,bnmfitness.net - forbidden site.Next Billing - 11/ 23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowered Health Classes,35-44,Female,United States of America,Santa Barbara,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,5k-50k,19/3/2020 15:45,corysipper,https://www.Empoweredhealthclasses.net,https://dashboard.yondo.com/manage?store=corysipper,Fitness - providing yoga lesson and motion training,Yes,Yes,"With recent activities.Jun 28, 2020 last live 1-to-1 .Recetn video library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Balance Golf,45-54,Female,United States of America,Sparks,NV,(UTC-07:00) Arizona,New Signup,active,Starter,Fitness,I haven't yet started selling,0,19ago2020 22:25:36,1960,https://www.CoreBalanceGolf.com,https://dashboard.yondo.com/manage?store=1960,golf training,Yes,Yes,offers 1-1 consultation and vod's  for golf training ang golf pilates workouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caley Forber,35-44,Female,United Kingdom,Runcorn,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Starter,Fitness,I haven't yet started selling,0,06abr2020 8:36:05,corecmobility,https://corecmobility.yondo.com,https://dashboard.yondo.com/manage?store=corecmobility,"Fitness - workout and training to increase strength, mobility, flexibility and overall well-being",Yes,Yes,"Pilates workout.Jul 25, 2020  live 1-to-1 update.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM2C,35-44,Female,United States of America,Baton Rouge,LA,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter Plus,Consulting,I haven't yet started selling,50k-250k,11ago2019 21:19:35,nm2c-corporate,https://nm2c-corporate.yondo.com,https://dashboard.yondo.com/manage?store=nm2c-corporate,no other details found online,No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bring It Fitness,35-44,Female,United States of America,Salt Lake City,UT,(UTC-07:00) Mountain Time (US & Canada),New Signup,active,Professional,Fitness,I haven't yet started selling,5k-50k,10/6/2020 22:55,sr2Tech,https://store.webringitfitness.com,https://dashboard.yondo.com/manage?store=sr2Tech,Fitness - providing workout both equipment needed and non equipment,Yes,Yes,Unpublished Store.using video to provide workout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84105-3243,,,,
Sunday Riley,35-44,Female,United States of America,Houston,TX,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Premium,Other,I am already selling online using a different system,1m+,11/5/2020 23:37,sundayriley,https://sundayriley.yondo.com,https://dashboard.yondo.com/manage?store=sundayriley,Skin care consultation.Beauty products.Providing skin care tips(routine and secrets),Yes,Yes,Live 1 on 1 unpublished session for Skin care consultation.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Realty & Asset Management,45-55,Male,United States of America,Los Angeles,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Other,I haven't yet started selling,250k-1m,26ene2020 6:29:55,CTRealty,https://CTRealty.yondo.com,https://dashboard.yondo.com/manage?store=CTRealty,realty and asset management firm,No,Yes,"vod's focuses om open house results,asset and property management trainig, lease training and prospecting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90045-1718,,,,
"Renew Yourself With Joy, LLC",34-45,Female,United States of America,Miami,FL,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Other,I haven't yet started selling,50k-250k,7/6/2019 12:19,Renew_Yourself_With_Joy,https://Renew_Yourself_With_Joy.yondo.com,https://dashboard.yondo.com/manage?store=Renew_Yourself_With_Joy,"offers coaching, therapy and speaking engagement about relationship",No,No,no added videos since 06/08/2019..last customer purchase was 08/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push Workouts,25-34,Male,United Kingdom,Chesterfield,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Starter,Fitness,I'm just playing around,0,27/5/2020 8:29,PeacefulPush,https://PeacefulPush.yondo.com,https://dashboard.yondo.com/manage?store=PeacefulPush,Fitness - providing nutrition and workout plan,No,Yes,Recent live 1-to-1 activity.4/5/2020 lasy video update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deb Hart Polymer Designs,,Female,United States of America,Arlington,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Arts & Crafts,I am already selling online using a different system,5k-50k,03ago2017 22:17:58,debhart,https://debhart.yondo.com,https://dashboard.yondo.com/manage?store=debhart,Art tutorial using polymer clay,Yes,Yes,Links from Weebly not working.Unpublished Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simply Core Fit,35-44,Female,Canada,Kelowna,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,I am already selling online using a different system,5k-50k,03abr2020 21:18:25,simplycorefit,https://simplycorefit.yondo.com,https://dashboard.yondo.com/manage?store=simplycorefit,Fitness wotkout for DEEP CORE muscles,Yes,Yes,uses video to provide classes.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Focus,,Female,United States of America,Dallas,TX,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Consulting,I am already selling online using a different system,250k-1m,23/5/2020 3:04,CoachingWithImpact,https://CoachingWithImpact.yondo.com,https://dashboard.yondo.com/manage?store=CoachingWithImpact,build community involvement and.cross-sector participation for collective impact..?accelerate the growth and engagement.of nonprofits and social enterprises..?target and maximize CRA & CSR impact.for financial institutions and corporations.,No,No,There's no recent update.Webinars available date 12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denise Levy, BSW",,Female,United States of America,Century,FL,(UTC-06:00) Central Time (US & Canada),Weebly,active,Starter,,,,1/7/2016 0:45,MissMatchMakerLive,https://MissMatchMakerLive.yondo.com,https://dashboard.yondo.com/manage?store=MissMatchMakerLive,life and relationship coach,No,Yes,"offers live experience , videos and 1-1 onsultation on topics like divorce, relationshop enrichment and matchmaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISIOGASPAR,,Female,Portugal,Lisbon,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Premium,Medical,I haven't yet started selling,0,30/3/2020 21:50,Fisiogaspar,https://Fisiogaspar.yondo.com,https://dashboard.yondo.com/manage?store=Fisiogaspar,Business - Consulting .1-1 sessions for the following services.psychotherpay.fisiatry.nutrition.psychology.for professional and international athletes.,Yes,Yes,They are providing treatment and monitoring for national and international athletes...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Let's Think On It, Inc.",55-64,Male,United States of America,Floral Park,NY,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter Plus,Consulting,I haven't yet started selling,0,15/9/2019 3:01,dmelillo,https://dmelillo.yondo.com,https://dashboard.yondo.com/manage?store=dmelillo,no other details found online,No,No,Lifetime plan..zero activity on the account,100k-150k,Married,Own,16-19 years,Completed High School,Professional,TRUE,TRUE,,Bought,,Interested,Bought,,Bought,Interested,Bought,,Bought,,Interested,Interested,Bought,Interested,Bought,Bought,Interested,Interested,,,,,,,,,,,
Virtual Clinic,35-44,Male,Saudi Arabia,,,"(UTC+03:00) Kuwait, Riyadh",New Signup,active,Starter,Medical,"I'm already selling, just not online",0-5k,19/3/2020 13:48,dramrad,https://dramrad.yondo.com,https://dashboard.yondo.com/manage?store=dramrad,cosmetic surgeon,,,uses the system forhis consultations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Ridge Naturopathic Clinic,45-54,Male,Canada,Maple Ridge,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Medical,I haven't yet started selling,250k-1m,25/2/2020 19:53,MapleRidgeNaturopathicClinic,https://MapleRidgeNaturopathicClinic.yondo.com,https://dashboard.yondo.com/manage?store=MapleRidgeNaturopathicClinic,naturopathic clinic,No,No,no activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shapes Fitness for Women Dublin,,,United States of America,San Ramon,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Professional,Fitness,I am already selling online using a different system,50k-250k,30abr2020 15:28:26,shapesdublin,https://shapesdublin.yondo.com,https://dashboard.yondo.com/manage?store=shapesdublin,Fitness training using power dance,Yes,Yes, for cardio and toning. uses live 1 to 1 and videos.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysphagia Grand Rounds,,,United States of America,,,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Medical,I haven't yet started selling,0,18ene2017 8:27:10,dysphagiagrandrounds,https://dysphagiagrandrounds.yondo.com,https://dashboard.yondo.com/manage?store=dysphagiagrandrounds,american speech language hearing association - continuing education,Yes,Yes,offers a 10 hour long compilation of videos for continuing education clinicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883pictures,,Male,Japan,,,"(UTC+09:00) Osaka, Sapporo, Tokyo",New Signup,active,Starter Plus,Other,I haven't yet started selling,50k-250k,25ago2019 17:10:13,883pictures,https://883pictures.yondo.com,https://dashboard.yondo.com/manage?store=883pictures,offer plan which allows them to use all studio equipment for a certain amount of time. ..studio can be used for live streaming,No,No,account is under the lifetime plan..last recorded webinar session 08/19/2020.japan based company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Builder Group,35-44,Male,Germany,Hannover,,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",New Signup,active,Starter Plus,Consulting,I am already selling online using a different system,0,03ago2019 3:38:37,ebgacademy,https://ebgacademy.yondo.com,https://dashboard.yondo.com/manage?store=ebgacademy,offers services E-Commerce & Startup..No Code Designer..iOS & Android App Designer..Free E-commerce Template..SEO Apps,No,No,last transaction was 10/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love your soul,25-34,Female,Australia,Melbourne,,"(UTC+10:00) Canberra, Melbourne, Sydney",New Signup,active,Starter,Fitness,"I'm already selling, just not online",5k-50k,23/3/2020 11:13,Loveyoursoul,https://Loveyoursoul.yondo.com,https://dashboard.yondo.com/manage?store=Loveyoursoul,Fitness - training workout Yoga and Pilates,Yes,Yes,"Apr 1, 2020 last live 1-to-1 update.Aug 8 2020 last video update .Recent activities trhu subscriptions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevique Fitness,25-34,Female,Australia,Gold Coast,,(UTC+10:00) Brisbane,New Signup,active,Starter,Fitness,I haven't yet started selling,0,25/3/2020 1:41,eleviquefitness,https://eleviquefitness.yondo.com,https://dashboard.yondo.com/manage?store=eleviquefitness,Fitness  - intensive workout.Pilates training,Yes,Yes,7/15/2020 last video update .recent activities and recently created webinars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Shapiro,,Female,United States of America,Bakersfield,CA,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter Plus,Medical,I haven't yet started selling,0,29/9/2019 17:46,emmashapiro,https://emmashapiro.yondo.com,https://dashboard.yondo.com/manage?store=emmashapiro,no other details found online,No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93309-4235,,,,
'Me..time' Pilates,45-54,Female,United Kingdom,Ombersley,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Professional,Fitness,I am already selling online using a different system,50k-250k,19/5/2020 14:41,Metimepilates,https://store.metimepilates.co.uk,https://dashboard.yondo.com/manage?store=Metimepilates,Fitness - Training Pilates,Yes,Yes,Unpublished Store.uses live 1 to 1 and videos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wealth Foundation,,Male,United States of America,,,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter Plus,Other,I'm just playing around,0,05ago2019 7:05:29,wealth,https://wealth.yondo.com,https://dashboard.yondo.com/manage?store=wealth,Lifetime plan..zero activity on the account..offers free consultation discussing life insurance.estate planning and fixed index annuities,No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoop to the Rhythm,45-54,Female,United States of America,Columbus,OH,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,15ene2019 19:19:00,hooptotherhythm,https://classes.hooptotherhythm.com,https://dashboard.yondo.com/manage?store=hooptotherhythm,Fitness- workout using hula hoop and other equipment,Yes,Yes,Live 1-to-1 are all unpublished.with recent activities using video and webinars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43229-1814,,,,
Mathedu,55-64,Female,France,Paris,,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",New Signup,active,Starter Plus,"Tutoring (Languages, Math etc.)",I haven't yet started selling,0,14ago2019 13:04:57,mathedu-academy,https://mathedu-academy.yondo.com,https://dashboard.yondo.com/manage?store=mathedu-academy,offer videos that teahes mathemtics  .topics are as follows.Scientific computing distribution of Python.Arithmetic Operations.Trigonometric Functions.Exponent Related Functions.COnditionals.Sequence loops,No,No,account is under the lifetime plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roll, Move, Improve",,Female,Australia,,,"(UTC+10:00) Canberra, Melbourne, Sydney",New Signup,active,Starter,Medical,I haven't yet started selling,0,13/3/2020 2:16,physioonaroll,https://physioonaroll.yondo.com,https://dashboard.yondo.com/manage?store=physioonaroll,physio therapy and workouts,Yes,Yes,1-1 for online physio exercise consultation..videos for physio basic and advanced rolling classes..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaf Legacy - Videos On Demand,34-45,Male,United States of America,Seattle,WA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter,Other,I haven't yet started selling,1m+,15abr2020 19:41:08,deaflegacy,https://deaflegacy.yondo.com,https://dashboard.yondo.com/manage?store=deaflegacy,communication services to meet the unique needs of each Deaf and hard-of-hearing individual.,No,Yes,the account is still active but all videos are unpublished. recent activity on the account shown was 04/30/2020,,,,,,,,,,,,,,,,,,,,,,,Interested,,,,Interested,Interested,,,,Interested,,,,,,,
goPhysio,45-54,Female,United Kingdom,East Hampshire,,"(UTC) Dublin, Edinburgh, Lisbon, London",New Signup,active,Professional,Fitness,"I'm already selling, just not online",250k-1m,03abr2020 10:40:42,goPhysio,https://goPhysio.yondo.com,https://dashboard.yondo.com/manage?store=goPhysio,Fitness offers Physiotherapy and rehab,Yes,Yes,members are Physiotherapists and Sports & Rehab Therapists.Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dory Dannettell,45-54,Female,United States of America,Arvada,CO,(UTC-07:00) Mountain Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0-5k,14/3/2020 19:30,1962,https://1962.yondo.com,https://dashboard.yondo.com/manage?store=1962,Fitness workout and Yoga sessions,Yes,Yes,active donation video.with recent activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80004-1264,,,,
Fitness Express,,,United States of America,Papillion,NE,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter,Fitness,I haven't yet started selling,0,28/10/2019 23:53,Fitnessxpress,https://Fitnessxpress.yondo.com,https://dashboard.yondo.com/manage?store=Fitnessxpress,Fitness- Yoga and Zumba workout,No,No,"Next Billing - 11/ 12/2020.Video Update 2/04/2020.Live 1-to-1 Feb 11, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68133-3388,,,,
Bilio LLC,,Male,Germany,,,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",New Signup,active,Starter,Consulting,I am already selling online using a different system,0,23ago2018 19:33:29,forgivenesscoachingnow,https://forgivenesscoachingnow.yondo.com,https://dashboard.yondo.com/manage?store=forgivenesscoachingnow,Consulation and providing support and assistance for emotional turmoil,Yes,Yes,"Aug 28, 2018  last live 1-to-1 session.Unpublished store.uses videos for session",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger Krav Maga,34-45,Male,United States of America,Edgerton,WI,(UTC-06:00) Central Time (US & Canada),New Signup,active,Starter Plus,Consulting,"I'm already selling, just not online",5k-50k,27ago2019 19:01:29,badgerkrav,https://badgerkrav.yondo.com,https://dashboard.yondo.com/manage?store=badgerkrav,offers self defense training Krav Maga for adults and kids. ..also offers lessons in using firearms and handy weapons,No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Coaching,35-44,Female,New Zealand,,,"(UTC+12:00) Auckland, Wellington",New Signup,active,Trial,Other,I haven't yet started selling,0,28dic2019 3:38:55,freshcoachingnz,https://freshcoachingnz.yondo.com,https://dashboard.yondo.com/manage?store=freshcoachingnz,offers health and wellness coaching esp focusing on fitness and nutrition,No,No,free trial until 12/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO EDU,25-34,Male,United States of America,Saint Louis,MO,(UTC-06:00) Central Time (US & Canada),New Signup,active,Premium,Arts & Crafts,I am already selling online using a different system,0-5k,15ene2020 2:17:19,Proedu,https://www.aphotomentor.com,https://dashboard.yondo.com/manage?store=Proedu,Photography Mentoring,Yes,Yes,Mentoring and providing Support.Each team member offers different type of service..Unpublished Store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatesAir University,35-44,Male,United States of America,Mason,OH,(UTC-05:00) Eastern Time (US & Canada),New Signup,active,Starter,Other,"I'm already selling, just not online",1m+,26/3/2018 3:38,gatesair,https://www.gatesairuniversity.com,https://dashboard.yondo.com/manage?store=gatesair,"provides complete solutions for over-the-air radio and television broadcasting, leveraging wireless spectrum to maximize performance for multichannel, mission-critical services.",No,Yes,videos posted on the yondo store is for free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmoney,,Male,United States of America,Chino,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter Plus,Fitness,"I'm already selling, just not online",5k-50k,24/7/2019 16:48,gmonroy_one,https://gmonroy_one.yondo.com,https://dashboard.yondo.com/manage?store=gmonroy_one,".Stack Commerce is an eCommerce content platfoirm that assists clients in advertising, branding",No,No,Lifetime plan..zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stack,,Male,United States of America,Oakland,CA,(UTC-08:00) Pacific Time (US & Canada),New Signup,active,Starter Plus,Consulting,"I'm already selling, just not online",0-5k,23/7/2019 23:11,george,https://george.yondo.com,https://dashboard.yondo.com/manage?store=george,found a profile of George Levy from StackSocila but no further description is shown,No,No,zero activity on the account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
